LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,,
2014-15,761,Atlanta Public Schools,113,Booker T. Washington - Early College Small School,Combined,1332096,84860,1547,9,1352,1273,,,
2010-11,614,Brooks County,110,Brooks County High School,Mathematics,1267239,84799,59,59,490,423,423,,
2010-11,614,Brooks County,110,Brooks County High School,Reading,1267239,84686,59,59,486,446,446,,
2010-11,614,Brooks County,110,Brooks County High School,Writing,1267239,83235,59,59,361,362,362,,
2014-15,761,Atlanta Public Schools,315,Booker T. Washington High School,Combined,1332096,84860,1547,36,1352,1273,1112,,NEW SCALE
2010-11,615,Bryan County,182,Richmond Hill High School,Mathematics,1267239,84799,511,424,490,504,512,,
2010-11,615,Bryan County,182,Richmond Hill High School,Reading,1267239,84686,508,421,486,500,504,,
2010-11,615,Bryan County,182,Richmond Hill High School,Writing,1267239,83235,499,415,361,379,381,,
2015-16,761,Atlanta Public Schools,315,Booker T. Washington High School,Combined Test Score,,28212.33333,472,14,1084,1063,1109,,NEW SCALE
2010-11,615,Bryan County,502,Bryan County High School,Mathematics,1267239,84799,511,87,490,504,465,,
2010-11,615,Bryan County,502,Bryan County High School,Reading,1267239,84686,508,87,486,500,481,,
2010-11,615,Bryan County,502,Bryan County High School,Writing,1267239,83235,499,84,361,379,371,,
2016-17,761,Atlanta Public Schools,315,Booker T. Washington High School,Combined Test Score,1715481,62394.33333,1229.333333,39,1053,1005,997,,NEW SCALE
2010-11,616,Bulloch County,203,Southeast Bulloch High School,Mathematics,1267239,84799,393,120,490,474,501,,
2010-11,616,Bulloch County,203,Southeast Bulloch High School,Reading,1267239,84686,392,119,486,474,502,,
2010-11,616,Bulloch County,203,Southeast Bulloch High School,Writing,1267239,83235,389,120,361,366,392,,
2010-11,707,Newton County,206,Alcovy High School,Combined,1267239,84240,764,214,1338,1251,1240,,
2010-11,616,Bulloch County,2054,Statesboro High School,Mathematics,1267239,84799,393,226,490,474,471,,
2010-11,616,Bulloch County,2054,Statesboro High School,Reading,1267239,84686,392,226,486,474,469,,
2010-11,616,Bulloch County,2054,Statesboro High School,Writing,1267239,83235,389,223,361,366,364,,
2011-12,707,Newton County,206,Alcovy High School,Combined,1284459,86367,795,297,1342,1248,1205,,
2010-11,616,Bulloch County,4052,Portal Middle/High School,Mathematics,1267239,84799,393,47,490,474,421,,
2010-11,616,Bulloch County,4052,Portal Middle/High School,Reading,1267239,84686,392,47,486,474,429,,
2010-11,616,Bulloch County,4052,Portal Middle/High School,Writing,1267239,83235,389,46,361,366,306,,
2012-13,707,Newton County,206,Alcovy High School,Combined,1295267,86088,777,300,1337,1248,1207,,
2010-11,617,Burke County,288,Burke County High School,Mathematics,1267239,84799,168,168,490,421,421,,
2010-11,617,Burke County,288,Burke County High School,Reading,1267239,84686,165,165,486,425,425,,
2010-11,617,Burke County,288,Burke County High School,Writing,1267239,83235,163,163,361,361,361,,
2013-14,707,Newton County,206,Alcovy High School,Combined,1306039,82852,757,301,1352,1268,1241,,
2010-11,618,Butts County,190,Jackson High School,Mathematics,1267239,84799,135,135,490,445,445,,
2010-11,618,Butts County,190,Jackson High School,Reading,1267239,84686,135,135,486,462,462,,
2010-11,618,Butts County,190,Jackson High School,Writing,1267239,83235,135,135,361,331,331,,
2017-18,761,Atlanta Public Schools,315,Booker T. Washington High School,Combined Test Score,2136539,65795,2145.333333,116,1052,948,857,,
2010-11,619,Calhoun County,203,Calhoun County High School,Mathematics,1267239,84799,26,26,490,392,392,,
2010-11,619,Calhoun County,203,Calhoun County High School,Reading,1267239,84686,25,25,486,425,425,,
2010-11,619,Calhoun County,203,Calhoun County High School,Writing,1267239,83235,25,25,361,283,283,,
2018-19,761,Atlanta Public Schools,315,Booker T. Washington High School,Combined Test Score,2220087,49345,1152,70,1027,965,898,,NEW SCALE
2010-11,620,Camden County,295,Camden County High School,Mathematics,1267239,84799,401,401,490,502,502,,
2010-11,620,Camden County,295,Camden County High School,Reading,1267239,84686,405,405,486,503,503,,
2010-11,620,Camden County,295,Camden County High School,Writing,1267239,83235,397,397,361,379,379,,
2014-15,761,Atlanta Public Schools,112,"Booker T. Washington High School - Banking, Finance and Investment Small Sc",Combined,1332096,84860,1547,3,1352,1273,,,NEW SCALE
2010-11,621,Candler County,101,Metter High School,Mathematics,1267239,84799,91,91,490,449,449,,
2010-11,621,Candler County,101,Metter High School,Reading,1267239,84686,88,88,486,448,448,,
2010-11,621,Candler County,101,Metter High School,Writing,1267239,83235,88,88,361,366,366,,
2014-15,761,Atlanta Public Schools,114,"Booker T. Washington High School - Health, Sciences and Nutrition Small Sch",Combined,1332096,84860,1547,2,1352,1273,,,NEW SCALE
2010-11,622,Carroll County,113,Open Campus High School,Mathematics,1267239,84799,462,2,490,458,,,
2010-11,622,Carroll County,113,Open Campus High School,Reading,1267239,84686,456,2,486,469,,,
2010-11,622,Carroll County,113,Open Campus High School,Writing,1267239,83235,453,2,361,351,,,
2014-15,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,Combined,1332096,84860,1547,1,1352,1273,,,NEW SCALE
2010-11,622,Carroll County,189,Temple High School,Mathematics,1267239,84799,462,44,490,458,445,,
2010-11,622,Carroll County,189,Temple High School,Reading,1267239,84686,456,43,486,469,478,,
2010-11,622,Carroll County,189,Temple High School,Writing,1267239,83235,453,44,361,351,325,,
2010-11,648,Douglas County,187,Alexander High School,Combined,1267239,84240,1321,281,1338,1259,1317,,
2010-11,622,Carroll County,308,Mt. Zion High School,Mathematics,1267239,84799,462,15,490,458,468,,
2010-11,622,Carroll County,308,Mt. Zion High School,Reading,1267239,84686,456,15,486,469,491,,
2010-11,622,Carroll County,308,Mt. Zion High School,Writing,1267239,83235,453,15,361,351,475,,
2011-12,648,Douglas County,187,Alexander High School,Combined,1284459,86367,1362,277,1342,1284,1346,,
2010-11,622,Carroll County,2052,Central High School,Mathematics,1267239,84799,462,202,490,458,453,,
2010-11,622,Carroll County,2052,Central High School,Reading,1267239,84686,456,197,486,469,464,,
2010-11,622,Carroll County,2052,Central High School,Writing,1267239,83235,453,197,361,351,337,,
2012-13,648,Douglas County,187,Alexander High School,Combined,1295267,86088,1317,233,1337,1248,1319,,
2010-11,622,Carroll County,3050,Bowdon High School,Mathematics,1267239,84799,462,26,490,458,483,,
2010-11,622,Carroll County,3050,Bowdon High School,Reading,1267239,84686,456,27,486,469,499,,
2010-11,622,Carroll County,3050,Bowdon High School,Writing,1267239,83235,453,26,361,351,366,,
2013-14,648,Douglas County,187,Alexander High School,Combined,1306039,82852,1254,206,1352,1272,1328,,
2010-11,622,Carroll County,5054,Villa Rica High School,Mathematics,1267239,84799,462,173,490,458,462,,
2010-11,622,Carroll County,5054,Villa Rica High School,Reading,1267239,84686,456,172,486,469,467,,
2010-11,622,Carroll County,5054,Villa Rica High School,Writing,1267239,83235,453,169,361,351,358,,
2015-16,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,Combined Test Score,,28212.33333,472,7,1084,1063,,,
